maven/mavencentral/org.keycloak/keycloak-saml-servlet-filter-adapter/15.0.2, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.keycloak/keycloak-servlet-adapter-spi/15.0.2, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.mockito/mockito-core/2.13.0, , approved, CQ15418
maven/mavencentral/org.objenesis/objenesis/2.6, Apache-2.0, approved, CQ15478
maven/mavencentral/org.opentest4j/opentest4j/1.3.0, Apache-2.0, approved, #9713
maven/mavencentral/org.ow2.asm/asm-debug-all/5.0.4, BSD-2-Clause, approved, CQ9714
maven/mavencentral/org.ow2.asm/asm/8.0.1, BSD-3-Clause, approved, CQ21853
maven/mavencentral/org.ow2.asm/asm/9.4, BSD-3-Clause, approved, clearlydefined
maven/mavencentral/org.pac4j/pac4j-core/4.5.6, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.pac4j/pac4j-http/4.5.6, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.pac4j/pac4j-jwt/4.5.6, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.pac4j/pac4j-oidc/4.5.6, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.postgresql/postgresql/42.7.1, BSD-2-Clause AND Apache-2.0, approved, #11681
maven/mavencentral/org.rnorth.duct-tape/duct-tape/1.0.8, MIT, approved, clearlydefined
maven/mavencentral/org.slf4j/jcl-over-slf4j/1.7.25, Apache-2.0, approved, CQ12843
maven/mavencentral/org.slf4j/log4j-over-slf4j/1.7.25, Apache-2.0, approved, CQ12841
maven/mavencentral/org.slf4j/slf4j-api/1.7.25, MIT, approved, CQ13368
maven/mavencentral/org.slf4j/slf4j-api/1.7.36, MIT, approved, CQ13368
maven/mavencentral/org.slf4j/slf4j-simple/1.7.25, MIT, approved, CQ7952
maven/mavencentral/org.testcontainers/elasticsearch/1.19.3, MIT, approved, clearlydefined
maven/mavencentral/org.testcontainers/junit-jupiter/1.19.3, MIT, approved, #10344
maven/mavencentral/org.testcontainers/testcontainers/1.19.3, Apache-2.0 AND MIT, approved, #10347
maven/mavencentral/org.webjars/swagger-ui/3.23.0, , approved, CQ20356
maven/mavencentral/org.xmlunit/xmlunit-core/2.9.0, Apache-2.0, approved, #6272
maven/mavencentral/org.xmlunit/xmlunit-legacy/2.9.0, Apache-2.0 AND BSD-3-Clause, approved, #3070
maven/mavencentral/org.xmlunit/xmlunit-placeholders/2.9.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.yaml/snakeyaml/2.0, Apache-2.0 AND (Apache-2.0 OR BSD-3-Clause OR EPL-1.0 OR GPL-2.0-or-later OR LGPL-2.1-or-later), approved, #7275
maven/mavencentral/org.pac4j/pac4j-oidc/6.1.2, Apache-2.0
maven/mavencentral/org.pac4j/pac4j-http/6.1.2, Apache-2.0
maven/mavencentral/org.pac4j/pac4j-jwt/6.1.2, Apache-2.0
maven/mavencentral/org.pac4j/pac4j-jakartaee/6.1.2, Apache-2.0
maven/mavencentral/org.pac4j/pac4j-core/6.1.2, Apache-2.0
maven/mavencentral/org.pac4j/jakartaee-pac4j/8.0.1, Apache-2.0
